"ACTIVITY_TYPE_EGAMES_GAME_LIKE";"When someone likes my game."
"ADMIN_ACTIVITY_TYPE_COMMENT_EGAMES_GAME";"When someone commented on the Games."
"ADMIN_ACTIVITY_TYPE_EGAMES_GAME_CREATE";"When someone created the Game."
"ADMIN_ACTIVITY_TYPE_LIKE_EGAMES_GAME";"When someone liked the Game."
"Browse Games";"Browse Games"
"My Games";"My Games"
"Add New Game";"Add New Game"
"Search Games:";"Search Games:"
"Browse By:";"Browse By:"
"Everyone's Game";"Everyone's Game"
"Only My Friend's Game";"Only My Friend's Game"
"Create New Game";"Create New Game"
"Game URL";"Game URL"
"Main Photo";"Main Photo"
"Show this game entry in search results";"Show this game entry in search results"
"Who may see this game entry?";"Who may see this game entry?"
"Who may post comments on this game entry?";"Who may post comments on this game entry?"
"Create Game";"Create Game"
"Edit Game";"Edit Game"
"Delete Game";"Delete Game"
"Are you sure you want to delete this game entry?";"Are you sure you want to delete this game entry?"
"Play";"Play"
"Games";"Games"
"Category:";"Category:"
"2nd-level Category:";"2nd-level Category:"
"3rd-level Category:";"3rd-level Category:"
"Category";"Category"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"_ACTIVITY_ACTIONTYPE_COMMENT_EGAMES_GAME";"Comments on your games"
"_ACTIVITY_ACTIONTYPE_EGAMES_GAME_CREATE";"New game entries"
"_ACTIVITY_ACTIONTYPE_LIKE_EGAMES_GAME";"When I liked the games"
"ITEM_TYPE_EGAMES_GAME";"Games"
